gene_id;gene;old_locus_tag;product
PP_RS01940;bioD;PP_0366;dethiobiotin synthase
PP_RS01945;;PP_0367;hypothetical protein
PP_RS01950;;PP_0368;phenylacyl-CoA dehydrogenase
PP_RS01955;;PP_0369;GGDEF domain-containing protein
PP_RS01960;;PP_0370;acyl-CoA dehydrogenase C-terminal domain-containing protein
PP_RS01965;;PP_0371;LysR family transcriptional regulator
PP_RS01970;;PP_0372;aminotransferase class III-fold pyridoxal phosphate-dependent enzyme
PP_RS01975;;PP_0373;YqaE/Pmp3 family membrane protein
PP_RS01980;;PP_5444;heparin lyase I family protein
PP_RS01985;;PP_0375;S9 family peptidase
PP_RS01990;pqqE;PP_0376;pyrroloquinoline quinone biosynthesis protein PqqE
PP_RS01995;pqqD;PP_0377;pyrroloquinoline quinone biosynthesis peptide chaperone PqqD
PP_RS02000;pqqC;PP_0378;pyrroloquinoline-quinone synthase PqqC
PP_RS02005;pqqB;PP_0379;pyrroloquinoline quinone biosynthesis protein PqqB
PP_RS02010;pqqA;PP_0380;pyrroloquinoline quinone precursor peptide PqqA
PP_RS02015;pqqF;PP_0381;pyrroloquinoline quinone biosynthesis protein PqqF
PP_RS02020;;PP_0382;carbon-nitrogen hydrolase family protein
PP_RS02025;;PP_0383;FAD-dependent oxidoreductase
PP_RS02030;;PP_0384;Lrp/AsnC family transcriptional regulator
PP_RS02035;;PP_0385;serine acetyltransferase
PP_RS02045;;PP_0386;bifunctional diguanylate cyclase/phosphodiesterase
PP_RS02050;rpoD;PP_0387;RNA polymerase sigma factor RpoD
PP_RS02055;dnaG;PP_0388;DNA primase
PP_RS02060;rpsU;PP_0389;30S ribosomal protein S21
PP_RS02065;tsaD;PP_0390;tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD
PP_RS02070;plsY;PP_0391;glycerol-3-phosphate 1-O-acyltransferase PlsY
PP_RS02075;folB;PP_0392;dihydroneopterin aldolase
PP_RS02080;folK;PP_0393;2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase
PP_RS02085;;PP_0394;CCA tRNA nucleotidyltransferase
PP_RS02090;;PP_0395;SpoVR family protein
PP_RS02095;;PP_0396;YeaH/YhbH family protein
PP_RS02100;;PP_0397;PrkA family serine protein kinase
PP_RS02105;glpE;PP_0398;thiosulfate sulfurtransferase GlpE
PP_RS02110;;PP_0399;symmetrical bis(5'-nucleosyl)-tetraphosphatase
PP_RS02115;apaG;PP_0400;Co2+/Mg2+ efflux protein ApaG
PP_RS02120;rsmA;PP_0401;16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase RsmA
PP_RS02125;pdxA;PP_0402;4-hydroxythreonine-4-phosphate dehydrogenase PdxA
PP_RS02130;surA;PP_0403;peptidylprolyl isomerase SurA
PP_RS02135;;PP_0404;LPS-assembly protein LptD
PP_RS02140;;PP_0405;phosphotransferase
PP_RS02145;;PP_0406;nucleotidyltransferase family protein
PP_RS02150;;PP_0407;TerB family tellurite resistance protein
PP_RS02155;;PP_0408;alpha/beta hydrolase family protein
PP_RS02160;;PP_0409;sensor histidine kinase
PP_RS02165;;PP_0410;response regulator transcription factor
PP_RS02170;;PP_0411;ABC transporter ATP-binding protein
PP_RS02175;;PP_0412;ABC transporter substrate-binding protein
PP_RS02180;;PP_0413;ABC transporter permease
PP_RS02185;;PP_0414;ABC transporter permease
PP_RS02190;rpe;PP_0415;ribulose-phosphate 3-epimerase
PP_RS02195;;PP_0416;phosphoglycolate phosphatase
PP_RS02200;trpE;PP_0417;anthranilate synthase component I
PP_RS02205;;PP_0418;autotransporter domain-containing SGNH/GDSL hydrolase family protein
PP_RS02210;;PP_0420;aminodeoxychorismate/anthranilate synthase component II
PP_RS02215;trpD;PP_0421;anthranilate phosphoribosyltransferase
PP_RS02220;trpC;PP_0422;indole-3-glycerol phosphate synthase TrpC
PP_RS02225;;PP_0423;lipoate--protein ligase family protein
PP_RS02230;crp;PP_0424;cAMP-activated global transcriptional regulator CRP
PP_RS02235;;PP_0425;OsmC family protein
PP_RS02240;;PP_0426;DUF2157 domain-containing protein
PP_RS02245;coq7;PP_0427;2-polyprenyl-3-methyl-6-methoxy-1,4-benzoquinonemonooxygenase
PP_RS02250;;PP_0428;histidine triad nucleotide-binding protein
PP_RS02255;;PP_0429;SDR family oxidoreductase
PP_RS02260;;PP_0430;nitronate monooxygenase family protein
PP_RS02265;hemJ;PP_0431;protoporphyrinogen oxidase HemJ
PP_RS02270;argC;PP_0432;N-acetyl-gamma-glutamyl-phosphate reductase
PP_RS02275;erpA;PP_0433;iron-sulfur cluster insertion protein ErpA
PP_RS02280;;PP_0434;anhydro-N-acetylmuramic acid kinase
PP_RS02285;;PP_0435;peptidoglycan DD-metalloendopeptidase family protein
PP_RS02290;tyrS;PP_0436;tyrosine--tRNA ligase
PP_RS02310;birA;PP_0437;bifunctional biotin--[acetyl-CoA-carboxylase] ligase/biotin operon repressor BirA
PP_RS02315;;PP_0438;pantothenate kinase
PP_RS02320;;PP_0439;hypothetical protein
PP_RS02340;tuf;PP_0440;elongation factor Tu
